,Sequence_name,Prediction,probability
5212,|1|Training,Non-autophagy protein,94.03%
5213,|1|Training,Non-autophagy protein,70.16%
5214,|1|Training,Non-autophagy protein,99.19%
5215,|1|Training,Non-autophagy protein,97.90%
5216,|1|Training,Non-autophagy protein,98.22%
5217,|1|Training,Non-autophagy protein,93.97%
5218,|1|Training,Autophagy Protein,91.30%
5219,|1|Training,Autophagy Protein,64.66%
5220,|1|Training,Non-autophagy protein,99.52%
5221,|1|Training,Non-autophagy protein,63.73%
5222,|1|Training,Non-autophagy protein,97.86%
5223,|1|Training,Autophagy Protein,91.26%
5224,|1|Training,Autophagy Protein,55.09%
5225,|1|Training,Autophagy Protein,61.82%
5226,|1|Training,Non-autophagy protein,99.35%
5227,|1|Training,Autophagy Protein,69.05%
5228,|1|Training,Non-autophagy protein,88.95%
5229,|1|Training,Non-autophagy protein,65.54%
5230,|1|Training,Non-autophagy protein,66.94%
5231,|1|Training,Non-autophagy protein,94.60%
5232,|1|Training,Non-autophagy protein,63.81%
5233,|1|Training,Non-autophagy protein,71.66%
5234,|1|Training,Non-autophagy protein,99.69%
5235,|1|Training,Non-autophagy protein,97.02%
5236,|1|Training,Non-autophagy protein,89.34%
5237,|1|Training,Non-autophagy protein,97.17%
5238,|1|Training,Non-autophagy protein,86.74%
5239,|1|Training,Non-autophagy protein,87.76%
5240,|1|Training,Non-autophagy protein,86.77%
5241,|1|Training,Autophagy Protein,72.76%
5242,|1|Training,Non-autophagy protein,53.37%
5243,|1|Training,Autophagy Protein,98.91%
5244,|1|Training,Autophagy Protein,86.16%
5245,|1|Training,Non-autophagy protein,86.18%
5246,|1|Training,Non-autophagy protein,99.36%
5247,|1|Training,Non-autophagy protein,95.79%
5248,|1|Training,Non-autophagy protein,97.26%
5249,|1|Training,Non-autophagy protein,99.79%
5250,|1|Training,Non-autophagy protein,99.73%
5251,|1|Training,Non-autophagy protein,93.20%
5252,|1|Training,Non-autophagy protein,89.70%
5253,|1|Training,Non-autophagy protein,66.90%
5254,|1|Training,Autophagy Protein,90.60%
5255,|1|Training,Non-autophagy protein,99.57%
5256,|1|Training,Autophagy Protein,76.34%
5257,|1|Training,Non-autophagy protein,96.90%
5258,|1|Training,Non-autophagy protein,98.93%
5259,|1|Training,Non-autophagy protein,98.74%
5260,|1|Training,Non-autophagy protein,99.29%
5261,|1|Training,Non-autophagy protein,89.52%
5262,|1|Training,Non-autophagy protein,92.18%
5263,|1|Training,Non-autophagy protein,98.47%
5264,|1|Training,Autophagy Protein,81.26%
5265,|1|Training,Non-autophagy protein,96.64%
5266,|1|Training,Non-autophagy protein,99.00%
5267,|1|Training,Non-autophagy protein,56.00%
5268,|1|Training,Non-autophagy protein,65.46%
5269,|1|Training,Non-autophagy protein,86.10%
5270,|1|Training,Non-autophagy protein,96.07%
5271,|1|Training,Non-autophagy protein,77.66%
5272,|1|Training,Non-autophagy protein,98.99%
5273,|1|Training,Non-autophagy protein,77.37%
5274,|1|Training,Non-autophagy protein,97.50%
5275,|1|Training,Non-autophagy protein,98.55%
5276,|1|Training,Non-autophagy protein,96.59%
5277,|1|Training,Non-autophagy protein,68.14%
5278,|1|Training,Non-autophagy protein,54.82%
5279,|1|Training,Non-autophagy protein,94.95%
5280,|1|Training,Autophagy Protein,64.51%
5281,|1|Training,Non-autophagy protein,98.79%
5282,|1|Training,Non-autophagy protein,96.40%
5283,|1|Training,Non-autophagy protein,95.05%
5284,|1|Training,Non-autophagy protein,84.92%
5285,|1|Training,Non-autophagy protein,89.97%
5286,|1|Training,Non-autophagy protein,99.80%
5287,|1|Training,Non-autophagy protein,99.55%
5288,|1|Training,Non-autophagy protein,65.27%
5289,|1|Training,Autophagy Protein,78.10%
5290,|1|Training,Non-autophagy protein,97.62%
5291,|1|Training,Non-autophagy protein,96.26%
5292,|1|Training,Non-autophagy protein,95.24%
5293,|1|Training,Non-autophagy protein,94.12%
5294,|1|Training,Non-autophagy protein,98.37%
5295,|1|Training,Non-autophagy protein,90.69%
5296,|1|Training,Non-autophagy protein,80.03%
5297,|1|Training,Non-autophagy protein,95.91%
5298,|1|Training,Non-autophagy protein,99.13%
5299,|1|Training,Non-autophagy protein,88.96%
5300,|1|Training,Non-autophagy protein,95.84%
5301,|1|Training,Non-autophagy protein,99.63%
5302,|1|Training,Non-autophagy protein,94.90%
5303,|1|Training,Non-autophagy protein,91.24%
5304,|1|Training,Non-autophagy protein,94.28%
5305,|1|Training,Non-autophagy protein,53.87%
5306,|1|Training,Autophagy Protein,73.39%
5307,|1|Training,Non-autophagy protein,98.44%
5308,|1|Training,Autophagy Protein,84.74%
5309,|1|Training,Non-autophagy protein,94.00%
5310,|1|Training,Non-autophagy protein,98.51%
5311,|1|Training,Non-autophagy protein,98.91%
5312,|1|Training,Non-autophagy protein,76.80%
5313,|1|Training,Non-autophagy protein,97.82%
5314,|1|Training,Non-autophagy protein,96.82%
5315,|1|Training,Non-autophagy protein,99.39%
5316,|1|Training,Non-autophagy protein,84.88%
5317,|1|Training,Autophagy Protein,81.29%
5318,|1|Training,Non-autophagy protein,77.52%
5319,|1|Training,Non-autophagy protein,75.43%
5320,|1|Training,Autophagy Protein,85.98%
5321,|1|Training,Non-autophagy protein,83.62%
5322,|1|Training,Non-autophagy protein,64.53%
5323,|1|Training,Non-autophagy protein,98.19%
5324,|1|Training,Non-autophagy protein,97.86%
5325,|1|Training,Autophagy Protein,68.12%
5326,|1|Training,Non-autophagy protein,96.79%
5327,|1|Training,Non-autophagy protein,94.93%
5328,|1|Training,Non-autophagy protein,96.43%
5329,|1|Training,Non-autophagy protein,72.39%
5330,|1|Training,Non-autophagy protein,97.20%
5331,|1|Training,Non-autophagy protein,96.54%
5332,|1|Training,Non-autophagy protein,97.70%
5333,|1|Training,Non-autophagy protein,99.58%
5334,|1|Training,Autophagy Protein,66.67%
5335,|1|Training,Autophagy Protein,94.14%
5336,|1|Training,Non-autophagy protein,82.65%
5337,|1|Training,Non-autophagy protein,56.14%
5338,|1|Training,Non-autophagy protein,66.23%
5339,|1|Training,Non-autophagy protein,90.00%
5340,|1|Training,Non-autophagy protein,89.55%
5341,|1|Training,Autophagy Protein,74.78%
5342,|1|Training,Non-autophagy protein,99.76%
5343,|1|Training,Non-autophagy protein,99.53%
5344,|1|Training,Non-autophagy protein,75.30%
5345,|1|Training,Non-autophagy protein,67.00%
5346,|1|Training,Non-autophagy protein,75.24%
5347,|1|Training,Non-autophagy protein,64.83%
5348,|1|Training,Non-autophagy protein,63.58%
5349,|1|Training,Non-autophagy protein,98.95%
5350,|1|Training,Non-autophagy protein,55.69%
5351,|1|Training,Non-autophagy protein,98.05%
5352,|1|Training,Non-autophagy protein,69.20%
5353,|1|Training,Non-autophagy protein,99.40%
5354,|1|Training,Non-autophagy protein,91.53%
5355,|1|Training,Non-autophagy protein,88.81%
5356,|1|Training,Non-autophagy protein,98.46%
5357,|1|Training,Non-autophagy protein,97.08%
5358,|1|Training,Non-autophagy protein,94.98%
5359,|1|Training,Non-autophagy protein,99.57%
5360,|1|Training,Non-autophagy protein,98.39%
5361,|1|Training,Non-autophagy protein,81.94%
5362,|1|Training,Non-autophagy protein,88.63%
5363,|1|Training,Non-autophagy protein,98.32%
5364,|1|Training,Non-autophagy protein,76.67%
5365,|1|Training,Non-autophagy protein,86.05%
5366,|1|Training,Non-autophagy protein,99.55%
5367,|1|Training,Autophagy Protein,86.15%
5368,|1|Training,Non-autophagy protein,96.36%
5369,|1|Training,Non-autophagy protein,91.06%
5370,|1|Training,Non-autophagy protein,98.99%
5371,|1|Training,Non-autophagy protein,94.14%
5372,|1|Training,Autophagy Protein,76.51%
5373,|1|Training,Non-autophagy protein,69.16%
5374,|1|Training,Non-autophagy protein,94.46%
5375,|1|Training,Autophagy Protein,93.93%
5376,|1|Training,Autophagy Protein,61.68%
5377,|1|Training,Non-autophagy protein,97.06%
5378,|1|Training,Non-autophagy protein,99.25%
5379,|1|Training,Non-autophagy protein,79.17%
5380,|1|Training,Non-autophagy protein,67.68%
5381,|1|Training,Autophagy Protein,53.30%
5382,|1|Training,Non-autophagy protein,96.77%
5383,|1|Training,Non-autophagy protein,98.51%
5384,|1|Training,Non-autophagy protein,92.56%
5385,|1|Training,Autophagy Protein,60.64%
5386,|1|Training,Non-autophagy protein,95.13%
5387,|1|Training,Autophagy Protein,83.37%
5388,|1|Training,Non-autophagy protein,72.76%
5389,|1|Training,Non-autophagy protein,99.24%
5390,|1|Training,Non-autophagy protein,94.77%
5391,|1|Training,Non-autophagy protein,99.16%
5392,|1|Training,Non-autophagy protein,94.03%
5393,|1|Training,Non-autophagy protein,92.40%
5394,|1|Training,Non-autophagy protein,79.49%
5395,|1|Training,Non-autophagy protein,96.37%
5396,|1|Training,Non-autophagy protein,98.17%
5397,|1|Training,Non-autophagy protein,95.72%
5398,|1|Training,Autophagy Protein,72.34%
5399,|1|Training,Non-autophagy protein,70.32%
5400,|1|Training,Non-autophagy protein,94.75%
5401,|1|Training,Non-autophagy protein,64.67%
5402,|1|Training,Non-autophagy protein,99.53%
5403,|1|Training,Non-autophagy protein,83.76%
5404,|1|Training,Non-autophagy protein,97.52%
5405,|1|Training,Non-autophagy protein,78.97%
5406,|1|Training,Non-autophagy protein,71.34%
5407,|1|Training,Non-autophagy protein,98.00%
5408,|1|Training,Non-autophagy protein,76.41%
5409,|1|Training,Non-autophagy protein,93.68%
5410,|1|Training,Non-autophagy protein,95.43%
5411,|1|Training,Non-autophagy protein,99.26%
5412,|1|Training,Non-autophagy protein,96.69%
5413,|1|Training,Non-autophagy protein,96.80%
5414,|1|Training,Non-autophagy protein,99.08%
5415,|1|Training,Non-autophagy protein,88.08%
5416,|1|Training,Non-autophagy protein,89.94%
5417,|1|Training,Non-autophagy protein,95.01%
5418,|1|Training,Non-autophagy protein,99.45%
5419,|1|Training,Non-autophagy protein,98.91%
5420,|1|Training,Non-autophagy protein,97.02%
5421,|1|Training,Non-autophagy protein,98.21%
5422,|1|Training,Non-autophagy protein,92.38%
5423,|1|Training,Non-autophagy protein,81.10%
5424,|1|Training,Non-autophagy protein,91.92%
5425,|1|Training,Non-autophagy protein,95.04%
5426,|1|Training,Non-autophagy protein,92.76%
5427,|1|Training,Non-autophagy protein,84.61%
5428,|1|Training,Non-autophagy protein,93.93%
5429,|1|Training,Non-autophagy protein,98.57%
5430,|1|Training,Autophagy Protein,80.57%
5431,|1|Training,Non-autophagy protein,98.58%
5432,|1|Training,Non-autophagy protein,98.41%
5433,|1|Training,Autophagy Protein,67.98%
5434,|1|Training,Non-autophagy protein,86.63%
5435,|1|Training,Non-autophagy protein,73.85%
5436,|1|Training,Non-autophagy protein,68.31%
5437,|1|Training,Non-autophagy protein,76.93%
5438,|1|Training,Non-autophagy protein,92.85%
5439,|1|Training,Non-autophagy protein,70.92%
5440,|1|Training,Non-autophagy protein,97.64%
5441,|1|Training,Non-autophagy protein,98.07%
5442,|1|Training,Non-autophagy protein,98.35%
5443,|1|Training,Non-autophagy protein,86.50%
5444,|1|Training,Non-autophagy protein,75.42%
5445,|1|Training,Non-autophagy protein,48.44%
5446,|1|Training,Non-autophagy protein,99.42%
5447,|1|Training,Non-autophagy protein,99.08%
5448,|1|Training,Non-autophagy protein,99.46%
5449,|1|Training,Non-autophagy protein,98.70%
5450,|1|Training,Non-autophagy protein,95.24%
5451,|1|Training,Non-autophagy protein,97.47%
5452,|1|Training,Autophagy Protein,63.21%
5453,|1|Training,Non-autophagy protein,93.93%
5454,|1|Training,Autophagy Protein,89.84%
5455,|1|Training,Non-autophagy protein,94.95%
5456,|1|Training,Non-autophagy protein,93.54%
5457,|1|Training,Autophagy Protein,62.40%
5458,|1|Training,Non-autophagy protein,99.09%
5459,|1|Training,Non-autophagy protein,88.65%
5460,|1|Training,Non-autophagy protein,97.38%
5461,|1|Training,Non-autophagy protein,91.95%
5462,|1|Training,Autophagy Protein,99.28%
5463,|1|Training,Autophagy Protein,53.79%
5464,|1|Training,Non-autophagy protein,95.87%
5465,|1|Training,Non-autophagy protein,93.80%
5466,|1|Training,Non-autophagy protein,99.85%
5467,|1|Training,Non-autophagy protein,93.30%
5468,|1|Training,Non-autophagy protein,69.64%
5469,|1|Training,Non-autophagy protein,98.59%
5470,|1|Training,Autophagy Protein,83.38%
5471,|1|Training,Non-autophagy protein,97.61%
5472,|1|Training,Non-autophagy protein,99.57%
5473,|1|Training,Non-autophagy protein,85.03%
5474,|1|Training,Non-autophagy protein,87.25%
5475,|1|Training,Autophagy Protein,65.88%
5476,|1|Training,Non-autophagy protein,83.18%
5477,|1|Training,Non-autophagy protein,94.56%
5478,|1|Training,Non-autophagy protein,84.60%
5479,|1|Training,Non-autophagy protein,76.02%
5480,|1|Training,Non-autophagy protein,97.39%
5481,|1|Training,Non-autophagy protein,90.80%
5482,|1|Training,Non-autophagy protein,87.44%
5483,|1|Training,Non-autophagy protein,70.38%
5484,|1|Training,Non-autophagy protein,97.70%
5485,|1|Training,Non-autophagy protein,96.39%
5486,|1|Training,Non-autophagy protein,99.40%
5487,|1|Training,Non-autophagy protein,62.99%
5488,|1|Training,Non-autophagy protein,96.92%
5489,|1|Training,Non-autophagy protein,97.32%
5490,|1|Training,Non-autophagy protein,91.99%
5491,|1|Training,Non-autophagy protein,98.69%
5492,|1|Training,Non-autophagy protein,97.88%
5493,|1|Training,Non-autophagy protein,94.61%
5494,|1|Training,Non-autophagy protein,91.44%
5495,|1|Training,Non-autophagy protein,99.10%
5496,|1|Training,Non-autophagy protein,96.97%
5497,|1|Training,Non-autophagy protein,97.55%
5498,|1|Training,Non-autophagy protein,98.39%
5499,|1|Training,Non-autophagy protein,97.16%
5500,|1|Training,Non-autophagy protein,90.13%
5501,|1|Training,Non-autophagy protein,97.45%
5502,|1|Training,Non-autophagy protein,90.64%
5503,|1|Training,Non-autophagy protein,99.31%
5504,|1|Training,Non-autophagy protein,97.05%
5505,|1|Training,Non-autophagy protein,67.21%
5506,|1|Training,Non-autophagy protein,98.25%
5507,|1|Training,Non-autophagy protein,87.20%
5508,|1|Training,Non-autophagy protein,90.33%
5509,|1|Training,Non-autophagy protein,92.77%
5510,|1|Training,Non-autophagy protein,62.41%
5511,|1|Training,Non-autophagy protein,99.01%
5512,|1|Training,Non-autophagy protein,94.53%
5513,|1|Training,Non-autophagy protein,99.06%
5514,|1|Training,Non-autophagy protein,93.60%
5515,|1|Training,Non-autophagy protein,93.95%
5516,|1|Training,Non-autophagy protein,69.35%
5517,|1|Training,Non-autophagy protein,99.33%
5518,|1|Training,Non-autophagy protein,83.04%
5519,|1|Training,Non-autophagy protein,96.42%
5520,|1|Training,Non-autophagy protein,85.67%
5521,|1|Training,Non-autophagy protein,96.51%
5522,|1|Training,Autophagy Protein,69.69%
5523,|1|Training,Non-autophagy protein,71.99%
5524,|1|Training,Autophagy Protein,89.48%
5525,|1|Training,Non-autophagy protein,62.05%
5526,|1|Training,Non-autophagy protein,99.26%
5527,|1|Training,Non-autophagy protein,90.80%
5528,|1|Training,Autophagy Protein,61.96%
5529,|1|Training,Non-autophagy protein,94.59%
5530,|1|Training,Non-autophagy protein,96.49%
5531,|1|Training,Non-autophagy protein,97.50%
5532,|1|Training,Non-autophagy protein,94.99%
5533,|1|Training,Non-autophagy protein,98.26%
5534,|1|Training,Non-autophagy protein,84.67%
5535,|1|Training,Non-autophagy protein,98.16%
5536,|1|Training,Non-autophagy protein,91.53%
5537,|1|Training,Autophagy Protein,87.08%
5538,|1|Training,Non-autophagy protein,81.76%
5539,|1|Training,Non-autophagy protein,98.54%
5540,|1|Training,Non-autophagy protein,78.16%
5541,|1|Training,Non-autophagy protein,57.99%
5542,|1|Training,Non-autophagy protein,81.31%
5543,|1|Training,Non-autophagy protein,85.98%
5544,|1|Training,Non-autophagy protein,98.62%
5545,|1|Training,Non-autophagy protein,95.46%
5546,|1|Training,Non-autophagy protein,99.34%
5547,|1|Training,Non-autophagy protein,97.87%
5548,|1|Training,Non-autophagy protein,96.87%
5549,|1|Training,Non-autophagy protein,98.35%
5550,|1|Training,Autophagy Protein,79.82%
5551,|1|Training,Non-autophagy protein,80.36%
5552,|1|Training,Non-autophagy protein,99.70%
5553,|1|Training,Non-autophagy protein,98.00%
5554,|1|Training,Non-autophagy protein,63.69%
5555,|1|Training,Non-autophagy protein,92.19%
5556,|1|Training,Non-autophagy protein,72.57%
5557,|1|Training,Non-autophagy protein,99.74%
5558,|1|Training,Non-autophagy protein,85.51%
5559,|1|Training,Non-autophagy protein,97.02%
5560,|1|Training,Non-autophagy protein,85.78%
5561,|1|Training,Autophagy Protein,98.59%
5562,|1|Training,Non-autophagy protein,99.69%
5563,|1|Training,Non-autophagy protein,82.98%
5564,|1|Training,Non-autophagy protein,87.71%
5565,|1|Training,Non-autophagy protein,97.61%
5566,|1|Training,Non-autophagy protein,91.31%
5567,|1|Training,Non-autophagy protein,89.27%
5568,|1|Training,Non-autophagy protein,95.32%
5569,|1|Training,Non-autophagy protein,95.57%
5570,|1|Training,Non-autophagy protein,81.08%
5571,|1|Training,Non-autophagy protein,78.42%
5572,|1|Training,Non-autophagy protein,93.88%
5573,|1|Training,Non-autophagy protein,95.42%
5574,|1|Training,Non-autophagy protein,93.94%
5575,|1|Training,Non-autophagy protein,99.56%
5576,|1|Training,Non-autophagy protein,98.45%
5577,|1|Training,Non-autophagy protein,98.65%
5578,|1|Training,Non-autophagy protein,84.86%
5579,|1|Training,Non-autophagy protein,93.63%
5580,|1|Training,Non-autophagy protein,92.90%
5581,|1|Training,Non-autophagy protein,95.79%
5582,|1|Training,Non-autophagy protein,98.90%
5583,|1|Training,Non-autophagy protein,69.12%
5584,|1|Training,Non-autophagy protein,96.47%
5585,|1|Training,Autophagy Protein,90.65%
5586,|1|Training,Non-autophagy protein,96.24%
5587,|1|Training,Non-autophagy protein,97.19%
5588,|1|Training,Non-autophagy protein,57.50%
5589,|1|Training,Non-autophagy protein,61.76%
5590,|1|Training,Autophagy Protein,72.27%
5591,|1|Training,Non-autophagy protein,77.65%
5592,|1|Training,Autophagy Protein,58.65%
5593,|1|Training,Autophagy Protein,85.55%
5594,|1|Training,Non-autophagy protein,90.62%
5595,|1|Training,Non-autophagy protein,89.77%
5596,|1|Training,Non-autophagy protein,75.67%
5597,|1|Training,Non-autophagy protein,63.67%
5598,|1|Training,Non-autophagy protein,62.63%
5599,|1|Training,Non-autophagy protein,97.89%
5600,|1|Training,Non-autophagy protein,82.17%
5601,|1|Training,Non-autophagy protein,87.65%
5602,|1|Training,Non-autophagy protein,63.23%
5603,|1|Training,Non-autophagy protein,63.56%
5604,|1|Training,Non-autophagy protein,90.81%
5605,|1|Training,Non-autophagy protein,59.95%
5606,|1|Training,Non-autophagy protein,86.85%
5607,|1|Training,Non-autophagy protein,95.39%
5608,|1|Training,Non-autophagy protein,98.26%
5609,|1|Training,Non-autophagy protein,80.40%
5610,|1|Training,Non-autophagy protein,51.29%
5611,|1|Training,Non-autophagy protein,92.84%
5612,|1|Training,Non-autophagy protein,96.06%
5613,|1|Training,Non-autophagy protein,60.89%
5614,|1|Training,Non-autophagy protein,99.38%
5615,|1|Training,Autophagy Protein,53.19%
5616,|1|Training,Non-autophagy protein,74.68%
5617,|1|Training,Non-autophagy protein,99.29%
5618,|1|Training,Non-autophagy protein,97.63%
5619,|1|Training,Non-autophagy protein,97.80%
5620,|1|Training,Non-autophagy protein,98.19%
5621,|1|Training,Non-autophagy protein,98.54%
5622,|1|Training,Non-autophagy protein,79.44%
5623,|1|Training,Non-autophagy protein,91.66%
5624,|1|Training,Non-autophagy protein,99.69%
5625,|1|Training,Non-autophagy protein,99.37%
5626,|1|Training,Non-autophagy protein,91.93%
5627,|1|Training,Autophagy Protein,84.48%
5628,|1|Training,Non-autophagy protein,58.39%
5629,|1|Training,Non-autophagy protein,75.07%
5630,|1|Training,Non-autophagy protein,94.24%
5631,|1|Training,Non-autophagy protein,84.96%
5632,|1|Training,Non-autophagy protein,99.32%
5633,|1|Training,Non-autophagy protein,98.66%
5634,|1|Training,Non-autophagy protein,96.58%
5635,|1|Training,Non-autophagy protein,92.58%
5636,|1|Training,Non-autophagy protein,93.95%
5637,|1|Training,Non-autophagy protein,87.74%
5638,|1|Training,Autophagy Protein,56.19%
5639,|1|Training,Non-autophagy protein,97.48%
5640,|1|Training,Non-autophagy protein,91.84%
5641,|1|Training,Non-autophagy protein,91.49%
5642,|1|Training,Autophagy Protein,59.56%
5643,|1|Training,Non-autophagy protein,50.53%
5644,|1|Training,Non-autophagy protein,58.04%
5645,|1|Training,Non-autophagy protein,86.51%
5646,|1|Training,Non-autophagy protein,76.83%
5647,|1|Training,Non-autophagy protein,95.92%
5648,|1|Training,Autophagy Protein,90.39%
5649,|1|Training,Non-autophagy protein,92.53%
5650,|1|Training,Non-autophagy protein,89.33%
5651,|1|Training,Non-autophagy protein,89.49%
5652,|1|Training,Autophagy Protein,87.79%
5653,|1|Training,Non-autophagy protein,88.88%
5654,|1|Training,Non-autophagy protein,80.92%
5655,|1|Training,Non-autophagy protein,94.59%
5656,|1|Training,Non-autophagy protein,90.78%
5657,|1|Training,Non-autophagy protein,84.73%
5658,|1|Training,Non-autophagy protein,85.34%
5659,|1|Training,Autophagy Protein,93.38%
5660,|1|Training,Non-autophagy protein,97.42%
5661,|1|Training,Non-autophagy protein,99.85%
5662,|1|Training,Non-autophagy protein,94.59%
5663,|1|Training,Non-autophagy protein,98.72%
5664,|1|Training,Autophagy Protein,54.17%
5665,|1|Training,Autophagy Protein,60.22%
5666,|1|Training,Non-autophagy protein,68.34%
5667,|1|Training,Non-autophagy protein,94.63%
5668,|1|Training,Non-autophagy protein,95.96%
5669,|1|Training,Non-autophagy protein,87.71%
5670,|1|Training,Autophagy Protein,91.66%
5671,|1|Training,Non-autophagy protein,87.94%
5672,|1|Training,Non-autophagy protein,98.30%
5673,|1|Training,Non-autophagy protein,93.52%
5674,|1|Training,Non-autophagy protein,88.76%
5675,|1|Training,Non-autophagy protein,95.72%
5676,|1|Training,Non-autophagy protein,99.41%
5677,|1|Training,Autophagy Protein,69.54%
5678,|1|Training,Non-autophagy protein,79.85%
5679,|1|Training,Non-autophagy protein,54.34%
5680,|1|Training,Non-autophagy protein,82.48%
5681,|1|Training,Non-autophagy protein,99.45%
5682,|1|Training,Autophagy Protein,96.69%
5683,|1|Training,Autophagy Protein,76.15%
5684,|1|Training,Autophagy Protein,93.47%
5685,|1|Training,Autophagy Protein,94.35%
5686,|1|Training,Autophagy Protein,86.80%
5687,|1|Training,Non-autophagy protein,96.77%
5688,|1|Training,Non-autophagy protein,87.16%
5689,|1|Training,Non-autophagy protein,78.47%
5690,|1|Training,Non-autophagy protein,96.10%
5691,|1|Training,Autophagy Protein,63.24%
5692,|1|Training,Non-autophagy protein,98.86%
5693,|1|Training,Non-autophagy protein,96.07%
5694,|1|Training,Non-autophagy protein,93.51%
5695,|1|Training,Non-autophagy protein,97.18%
5696,|1|Training,Non-autophagy protein,99.87%
5697,|1|Training,Non-autophagy protein,99.61%
5698,|1|Training,Non-autophagy protein,99.16%
5699,|1|Training,Non-autophagy protein,93.08%
5700,|1|Training,Non-autophagy protein,93.91%
5701,|1|Training,Non-autophagy protein,99.67%
5702,|1|Training,Non-autophagy protein,93.24%
5703,|1|Training,Non-autophagy protein,81.33%
5704,|1|Training,Non-autophagy protein,84.93%
5705,|1|Training,Non-autophagy protein,99.33%
5706,|1|Training,Non-autophagy protein,93.96%
5707,|1|Training,Non-autophagy protein,99.89%
5708,|1|Training,Non-autophagy protein,99.64%
5709,|1|Training,Non-autophagy protein,99.05%
5710,|1|Training,Autophagy Protein,88.50%
5711,|1|Training,Non-autophagy protein,99.52%
5712,|1|Training,Non-autophagy protein,99.76%
5713,|1|Training,Non-autophagy protein,73.63%
5714,|1|Training,Non-autophagy protein,97.42%
5715,|1|Training,Non-autophagy protein,98.55%
5716,|1|Training,Non-autophagy protein,94.81%
5717,|1|Training,Non-autophagy protein,96.72%
5718,|1|Training,Autophagy Protein,59.59%
5719,|1|Training,Non-autophagy protein,72.50%
5720,|1|Training,Non-autophagy protein,94.13%
5721,|1|Training,Non-autophagy protein,84.11%
5722,|1|Training,Autophagy Protein,72.85%
5723,|1|Training,Non-autophagy protein,96.70%
5724,|1|Training,Non-autophagy protein,83.77%
5725,|1|Training,Non-autophagy protein,89.63%
5726,|1|Training,Non-autophagy protein,94.65%
5727,|1|Training,Non-autophagy protein,83.77%
5728,|1|Training,Non-autophagy protein,98.33%
5729,|1|Training,Non-autophagy protein,97.19%
5730,|1|Training,Non-autophagy protein,98.92%
5731,|1|Training,Non-autophagy protein,99.39%
5732,|1|Training,Non-autophagy protein,97.57%
5733,|1|Training,Non-autophagy protein,89.16%
5734,|1|Training,Non-autophagy protein,99.15%
5735,|1|Training,Non-autophagy protein,98.97%
5736,|1|Training,Non-autophagy protein,95.35%
5737,|1|Training,Non-autophagy protein,99.75%
5738,|1|Training,Non-autophagy protein,70.66%
5739,|1|Training,Non-autophagy protein,98.08%
5740,|1|Training,Non-autophagy protein,99.14%
5741,|1|Training,Non-autophagy protein,93.89%
5742,|1|Training,Non-autophagy protein,98.82%
5743,|1|Training,Non-autophagy protein,93.48%
5744,|1|Training,Non-autophagy protein,95.90%
5745,|1|Training,Non-autophagy protein,93.80%
5746,|1|Training,Autophagy Protein,72.26%
5747,|1|Training,Autophagy Protein,90.75%
5748,|1|Training,Non-autophagy protein,97.24%
5749,|1|Training,Non-autophagy protein,93.01%
5750,|1|Training,Non-autophagy protein,98.23%
5751,|1|Training,Non-autophagy protein,91.79%
5752,|1|Training,Non-autophagy protein,98.52%
5753,|1|Training,Non-autophagy protein,61.37%
5754,|1|Training,Non-autophagy protein,57.41%
5755,|1|Training,Non-autophagy protein,97.16%
5756,|1|Training,Non-autophagy protein,58.18%
5757,|1|Training,Autophagy Protein,80.69%
5758,|1|Training,Non-autophagy protein,95.38%
5759,|1|Training,Non-autophagy protein,93.11%
5760,|1|Training,Non-autophagy protein,91.92%
5761,|1|Training,Non-autophagy protein,84.61%
5762,|1|Training,Non-autophagy protein,95.78%
5763,|1|Training,Non-autophagy protein,77.92%
5764,|1|Training,Non-autophagy protein,99.69%
5765,|1|Training,Non-autophagy protein,96.65%
5766,|1|Training,Non-autophagy protein,97.98%
5767,|1|Training,Non-autophagy protein,93.04%
5768,|1|Training,Non-autophagy protein,99.63%
5769,|1|Training,Non-autophagy protein,99.09%
5770,|1|Training,Non-autophagy protein,95.48%
5771,|1|Training,Non-autophagy protein,77.80%
5772,|1|Training,Non-autophagy protein,92.95%
5773,|1|Training,Non-autophagy protein,98.24%
5774,|1|Training,Non-autophagy protein,96.75%
5775,|1|Training,Non-autophagy protein,99.48%
5776,|1|Training,Non-autophagy protein,98.16%
5777,|1|Training,Non-autophagy protein,98.85%
5778,|1|Training,Autophagy Protein,92.63%
5779,|1|Training,Non-autophagy protein,95.31%
5780,|1|Training,Non-autophagy protein,84.58%
5781,|1|Training,Non-autophagy protein,96.54%
5782,|1|Training,Non-autophagy protein,98.27%
5783,|1|Training,Non-autophagy protein,99.78%
5784,|1|Training,Non-autophagy protein,75.46%
5785,|1|Training,Non-autophagy protein,99.73%
5786,|1|Training,Non-autophagy protein,81.89%
5787,|1|Training,Non-autophagy protein,98.91%
5788,|1|Training,Non-autophagy protein,91.11%
5789,|1|Training,Autophagy Protein,83.64%
5790,|1|Training,Non-autophagy protein,82.38%
5791,|1|Training,Non-autophagy protein,96.86%
5792,|1|Training,Non-autophagy protein,99.52%
5793,|1|Training,Non-autophagy protein,85.57%
5794,|1|Training,Non-autophagy protein,89.56%
5795,|1|Training,Non-autophagy protein,62.21%
5796,|1|Training,Non-autophagy protein,99.93%
